SampleID	Haplogroup	Overall_Rank
HG02057	M7b1a1+(16192)	0.6936
HG02058	B5a1a	0.7064
HG02060	M7b1a1e1	0.7545
HG02061	R9b1b	0.8270
HG02064	B4b1	0.6282
HG02067	M7b1a1	0.6529
HG02069	B4b1c1	0.7269
HG02070	M51a2	0.7858
HG02072	R0+16189	0.6697
HG02073	F1a'c'f	0.6925
HG02075	M7b1a1e1	0.7711
HG02076	B5a	0.7213
HG02078	B5a	0.6872
HG02079	M7b1a1	0.7523
HG02081	M9a1a3	0.8525
HG02082	F1a'c'f	0.7577
HG02084	M7b1a1a2	0.7358
HG02085	M7b1a1a3	0.6893
HG02086	B4c2	0.6166
HG02087	R9b1a1a	0.7860
HG02088	M7b1a1	0.7199
HG02089	B2	0.5887
HG02090	B2	0.7489
HG02095	L3d1b3	0.7905
HG02102	D1	0.8028
HG02104	B2o	0.6938
HG02105	D4h3a9	0.7830
HG02107	L3b1a7	0.7908
HG02108	L1b1a3b	0.7630
HG02111	L0a1a+200	0.7972
HG02113	F1a'c'f	0.7479
HG02116	C4d	0.7824
HG02121	M7b1a1a	0.7351
HG02122	R0+16189	0.6413
HG02127	M7c1a	0.6563
HG02128	F1a1a	0.7436
HG02130	F2a+@16291	0.7895
HG02131	F2b1	0.8352
HG02133	F1a'c'f	0.7707
HG02134	B4a1c4	0.6999
HG02136	F1a1a1	0.7489
HG02137	M7b1a1a2	0.7276
HG02138	B5a1a	0.7110
HG02139	A14	0.7521
HG02140	B5a	0.5896
HG02141	M7b1a1f	0.7272
HG02142	M12a1a	0.8040
HG02143	L3k1	0.7697
HG02144	L2c	0.8064
HG02146	B2	0.6906
HG02147	D1	0.7760
HG02150	B2	0.6912
HG02151	C	0.7836
HG02152	D5b	0.7467
HG02153	F1a'c'f	0.7447
HG02154	D4j+(16286)	0.7849
HG02155	D4g2a1	0.7887
HG02156	M7b1a1a2	0.7293
HG02164	B6a	0.7466
HG02165	B5a1a	0.7392
HG02166	M7b1a1d1	0.7690
HG02178	F1a1a	0.7778
HG02179	F1a'c'f	0.7133
HG02180	M7b1a1c	0.6979
HG02181	F1a3	0.7463
